input,pred_after,GT
"Joan has 9 blue balloons , Sally has 5 blue balloons , and Jessica has 2 blue balloons . How many blue balloons do they have in total ?
Let's add the blue balloons:

Joan has 9
Sally has 5
Jessica has 2

9 + 5 + 2 = 16

They have 16 blue balloons in total.
Therefore, the answer (arabic numerals) is \textbf{16}",16,16.0
"Melanie had 7 dimes in her bank . Her dad gave her 8 dimes and her mother gave her 4 dimes . How many dimes does Melanie have now ?
Melanie started with 7 dimes. Then she got 8 more from her dad, and 4 more from her mom. So she got 8 + 4 = 12. 7 + 12 is 19. The answer is 19.
Therefore, the answer (arabic numerals) is \textbf{19}",19,19.0
"A restaurant served 5 cakes during lunch and 6 during dinner today . The restaurant served 3 cakes yesterday . How many cakes were served in total ?
The restaurant served 5 cakes during lunch and 6 during dinner, so that is 5 + 6 = 11. The restaurant served 3 yesterday. 11 + 3 is 14. The answer is 14.
Therefore, the answer (arabic numerals) is \textbf{11}",11,14.0
"Melanie picked 4 plums , Dan picked 9 plums , and Sally picked 3 plums from the plum tree . How many plums were picked in total ?
Melanie picked 4, Dan picked 9, and Sally picked 3. So they picked 4 + 9 + 3 = 16. The answer is 16.
Therefore, the answer (arabic numerals) is \textbf{16}",16,16.0
"There are 7 dogwood trees currently in the park . Park workers will plant 3 dogwood trees today and 2 dogwood trees tomorrow . How many dogwood trees will the park have when the workers are finished ?
There are 7 dogwood trees. Then the workers will plant 3 + 2 = 5 more. 7 + 5 is 12. The answer is 12.
Therefore, the answer (arabic numerals) is \textbf{12}",12,12.0
"Sara grew 4 onions , Sally grew 5 onions , and Fred grew 9 onions . How many onions did they grow in all ?
Let's add the number of onions they grew:

Sara grew 4 onions
Sally grew 5 onions
Fred grew 9 onions

4 + 5 + 9 = 18

They grew 18 onions in all.
Therefore, the answer (arabic numerals) is \textbf{18}",18,18.0
"Jason has 43 blue and 16 red marbles . Tom has 24 blue marbles . How many blue marbles do they have in all ?
Jason has 43 blue marbles, and Tom has 24 blue marbles. So they have 43 + 24 = 67 blue marbles. The answer is 67.
Therefore, the answer (arabic numerals) is \textbf{67}",67,67.0
"Sam found 18 seashells and Mary found 47 seashells on the beach . How many seashells did they find together ?
Sam found 18 seashells. Mary found 47 seashells. So they found 18 + 47 = 65 seashells.
Therefore, the answer (arabic numerals) is \textbf{65}",65,65.0
"Jason grew 23 watermelons and 18 turnips . Nancy grew 28 watermelons . How many watermelons did they grow in total ?
Jason grew 23 watermelons. Nancy grew 28 watermelons. So they grew 23 + 28 = 51 watermelons. The turnips do not count. The answer is 51.
Therefore, the answer (arabic numerals) is \textbf{51}",51,51.0
"There are 11 rulers and 34 crayons in the drawer . Tim placed 14 rulers in the drawer . How many rulers are now there in all ?
There were 11 rulers originally. Then 14 more were added. 11 + 14 = 25.
#### 25
Therefore, the answer (arabic numerals) is \textbf{25}",25,25.0
"Sara picked 45 pears and Sally picked 11 pears from the pear tree . How many pears were picked in total ?
Sara picked 45 pears, and Sally picked 11 pears. So in total, they picked 45 + 11 = 56 pears.
Therefore, the answer (arabic numerals) is \textbf{56}",56,56.0
"Keith has 20 books . Jason has 21 books . How many books do they have together ?
Keith has 20 books, and Jason has 21 books, so they have 20 + 21 = 41 books.
Therefore, the answer (arabic numerals) is \textbf{41}",41,41.0
"Jason had 49 quarters in his bank . His dad gave him 25 quarters . How many quarters does he have now ?
Jason had 49 quarters. His dad gave him 25 quarters. So he has 49 + 25 = 74 quarters. The answer is 74.
Therefore, the answer (arabic numerals) is \textbf{74}",74,74.0
"Tom found 15 seashells and Fred found 43 seashells on the beach . When they cleaned them , they discovered that 29 were cracked . How many seashells did they find together ?
Tom found 15 seashells, and Fred found 43. So they found 15 + 43 = 58. After cleaning, 29 were cracked. 58 - 29 is 29. The answer is 29.
Therefore, the answer (arabic numerals) is \textbf{29}",29,58.0
"Sara has 31 red and 15 green balloons . Sandy has 24 red balloons . How many red balloons do they have in total ?
Sara has 31 red balloons. Sandy has 24 red balloons. So they have 31 + 24 = 55 red balloons. The answer is 55.
Therefore, the answer (arabic numerals) is \textbf{55}",55,55.0
"Joan picked 37 oranges and Sara picked 10 oranges . Alyssa picked 30 pears . How many oranges were picked in total ?
Joan picked 37 oranges, Sara picked 10, so they picked 37 + 10 = 47. The answer is 47.
Therefore, the answer (arabic numerals) is \textbf{47}",47,47.0
"Fred went to 36 basketball games this year , but missed 35 . He went to 11 games last year . How many basketball games did Fred go to in total ?
Fred went to 36 - 35 = 1 game this year. Last year, he went to 11 games. So 1 + 11 is 12. The answer is 12.
Therefore, the answer (arabic numerals) is \textbf{12}",12,47.0
"There are 33 pencils and 44 crayons in the drawer . Joan placed 27 pencils in the drawer . How many pencils are now there in total ?
There were originally 33 pencils. 27 more were added. 33 + 27 = 60. The answer is 60.
Therefore, the answer (arabic numerals) is \textbf{60}",60,60.0
"Sam had 49 pennies and 24 nickels in his bank . His dad gave him 39 nickels and 31 quarters . How many nickels does he have now ?
Sam started with 24 nickels. After his dad gave him 39 more, he has 24 + 39 = 63. The answer is 63.
Therefore, the answer (arabic numerals) is \textbf{63}",63,63.0
"Dan grew 42 turnips and 38 cantelopes . Jessica grew 47 turnips . How many turnips did they grow in total ?
Dan grew 42 turnips. Jessica grew 47 turnips. So they grew 42 + 47 = 89 turnips. The answer is 89.
Therefore, the answer (arabic numerals) is \textbf{89}",89,89.0
"There are 33 walnut trees currently in the park . Park workers will plant 44 walnut trees today . How many walnut trees will the park have when the workers are finished ?
The park started with 33 walnut trees. The workers will plant 44. 33 + 44 is 77. The answer is 77.
Therefore, the answer (arabic numerals) is \textbf{77}",77,77.0
"Sara had 21 quarters in her bank . Her dad gave her 49 quarters . How many quarters does she have now ?
Sara started with 21 quarters. Then she got 49 more. So she has 21 + 49 = 70 quarters. The answer is 70.
Therefore, the answer (arabic numerals) is \textbf{70}",70,70.0
"There are 41 pencils in the drawer . Mike placed 30 pencils in the drawer . How many pencils are now there in total ?
There were 41 pencils. Mike added 30. So there are 41 + 30 = 71.
#### 71
Therefore, the answer (arabic numerals) is \textbf{71}",71,71.0
"Joan has 10 books . Tom has 38 books . How many books do they have together ?
Joan has 10 books, and Tom has 38 books. So, they have 10 + 38 = 48 books.
Therefore, the answer (arabic numerals) is \textbf{48}",48,48.0
"Joan has 40 blue balloons Melanie has 41 blue balloons . How many blue balloons do they have in total ?
A simple one!

Joan has 40 blue balloons, and Melanie has 41 blue balloons, so together they have:

40 + 41 = 81

They have 81 blue balloons in total.
Therefore, the answer (arabic numerals) is \textbf{81}",81,81.0
"Fred grew 38 cantelopes . Tim grew 44 cantelopes . How many cantelopes did they grow in total ?
Fred grew 38 cantelopes, and Tim grew 44 cantelopes, so they grew a total of 38 + 44 = 82 cantelopes.
Therefore, the answer (arabic numerals) is \textbf{82}",82,82.0
"Sam went to 14 football games this year . He went to 29 games last year . How many football games did Sam go to in all ?
Sam went to 14 games this year. Last year, he went to 29 games. 14 + 29 is 43. The answer is 43.
Therefore, the answer (arabic numerals) is \textbf{43}",43,43.0
"Mary found 18 seashells and Jessica found 41 seashells on the beach . How many seashells did they find together ?
Mary found 18 seashells. Jessica found 41 seashells. So they found 18 + 41 = 59 seashells. The answer is 59.
Therefore, the answer (arabic numerals) is \textbf{59}",59,59.0
"There are 39 dogwood trees currently in the park . Park workers will plant 41 dogwood trees today and 20 dogwood trees tomorrow . How many dogwood trees will the park have when the workers are finished ?
The park has 39 dogwood trees. 41 + 20 is 61. 39 + 61 is 100. The answer is 100.
Therefore, the answer (arabic numerals) is \textbf{100}",100,100.0
"Sandy has 10 books , Benny has 24 books , and Tim has 33 books . How many books do they have together ?
Sandy has 10 books, Benny has 24 books, and Tim has 33 books. So they have 10 + 24 + 33 = 67 books. The answer is 67.
Therefore, the answer (arabic numerals) is \textbf{67}",67,67.0
"Jason picked 46 pears , Keith picked 47 pears , and Mike picked 12 pears from the pear tree . How many pears were picked in total ?
Jason picked 46. Keith picked 47. Mike picked 12. 46 + 47 + 12 = 105. The answer is 105.
Therefore, the answer (arabic numerals) is \textbf{105}",105,105.0
"Keith grew 29 cantelopes , Fred grew 16 cantelopes , and Jason grew 20 cantelopes . How many cantelopes did they grow in total ?
Keith grew 29, Fred grew 16, and Jason grew 20. 29 + 16 + 20 is 65. The answer is 65.
Therefore, the answer (arabic numerals) is \textbf{65}",65,65.0
"Melanie had 19 dimes in her bank . Her dad gave her 39 dimes and her mother gave her 25 dimes . How many dimes does Melanie have now ?
Melanie started with 19 dimes. Then her dad gave her 39. 19 + 39 is 58. Then her mom gave her 25. 58 + 25 is 83. The answer is 83.
Therefore, the answer (arabic numerals) is \textbf{83}",83,83.0
"Alyssa has 37 blue balloons , Sandy has 28 blue balloons , and Sally has 39 blue balloons . How many blue balloons do they have in all ?
Alyssa has 37, Sandy has 28, and Sally has 39. 37 + 28 + 39 is 104. They have 104 blue balloons.
Therefore, the answer (arabic numerals) is \textbf{104}",104,104.0
"Sally had 27 Pokemon cards . Dan gave her 41 new Pokemon cards . Sally bought 20 Pokemon cards . How many Pokemon cards does Sally have now ?
Sally started with 27 cards. Dan gave her 41, so she had 27 + 41 = 68 cards. She bought 20 more, so she had 68 + 20 = 88. The answer is 88.
Therefore, the answer (arabic numerals) is \textbf{88}",88,88.0
"Jason went to 11 football games this month . He went to 17 games last month , and plans to go to 16 games next month . How many games will he attend in all ?
Jason went to 11 games this month. Last month, he went to 17. Next month he will go to 16. So he went to 11 + 17 + 16 = 44 games. The answer is 44.
Therefore, the answer (arabic numerals) is \textbf{44}",44,44.0
"There are 43 pencils in the drawer and 19 pencils on the desk . Dan placed 16 pencils on the desk . How many pencils are now there in total ?
There were 43 + 19 = 62 pencils. After Dan placed 16 on the desk, there were 62 + 16 = 78. The answer is 78.
Therefore, the answer (arabic numerals) is \textbf{78}",78,78.0
"Mike has 35 books in his library . He bought several books at a yard sale over the weekend . He now has 56 books in his library . How many books did he buy at the yard sale ?
Mike started with 35 books. After buying some, he had 56. So he must have bought 56 - 35 = 21. The answer is 21.
Therefore, the answer (arabic numerals) is \textbf{21}",21,21.0
"There are 53 maple trees currently in the park . Park workers will plant maple trees today . When the workers are finished there will be 64 maple trees in the park . How many maple trees did the workers plant today ?
There are originally 53 maple trees. After the workers are done, there will be 64. So the workers planted 64 - 53 = 11. The answer is 11.
Therefore, the answer (arabic numerals) is \textbf{11}",11,11.0
"Dan found 56 seashells on the beach , he gave Jessica some of his seashells . He has 22 seashell . How many seashells did he give to Jessica ?
Dan started with 56 seashells. After giving some to Jessica, he had 22. So he gave 56 - 22 = 34 to Jessica. The answer is 34.
Therefore, the answer (arabic numerals) is \textbf{34}",34,34.0
"Sally had 13 peaches at her roadside fruit dish . She went to the orchard and picked peaches to stock up . There are now 55 peaches . how many did she pick ?
Sally started with 13 peaches. After picking some, she had 55. So she must have picked 55 - 13 = 42. The answer is 42.
Therefore, the answer (arabic numerals) is \textbf{42}",42,42.0
"Benny received 67 dollars for his birthday . He went to a sporting goods store and bought a baseball glove , baseball , and bat . He had 33 dollars over , how much did he spent on the baseball gear ?
Benny started with 67 dollars. After he bought the baseball gear, he had 33 dollars over. So he had 67 + 33 = 100 dollars. He spent the rest on the baseball gear. 100 - 67 is 33. The answer is 33.
Therefore, the answer (arabic numerals) is \textbf{33}",33,34.0
"There were 3 roses in the vase . Alyssa cut some roses from her flower garden . There are now 14 roses in the vase . How many roses did she cut ?
There were originally 3 roses. After Alyssa cut some, there were 14. So she cut 14 - 3 = 11. The answer is 11.
Therefore, the answer (arabic numerals) is \textbf{11}",11,11.0
"Last week Tom had 74 dollars . He washed cars over the weekend and now has 86 dollars . How much money did he make washing cars ?
Tom had 74 dollars. After he got 86, he must have made 86 - 74 = 12. The answer is 12.
Therefore, the answer (arabic numerals) is \textbf{12}",12,12.0
"There were 73 bales of hay in the barn . Jason stacked bales in the barn today . There are now 96 bales of hay in the barn . How many bales did he store in the barn ?
There were originally 73 bales. There are now 96. So Jason must have put 96 - 73 = 23 bales. The answer is 23.
Therefore, the answer (arabic numerals) is \textbf{23}",23,23.0
"Nancy grew 6 potatoes . Sandy grew 7 potatoes . How many potatoes did they grow in total ?
Nancy grew 6 potatoes, and Sandy grew 7 potatoes, so they grew a total of 6 + 7 = 13 potatoes.
Therefore, the answer (arabic numerals) is \textbf{13}",13,13.0
"There are 9 crayons in the drawer . Benny placed 3 crayons in the drawer . How many crayons are now there in total ?
There were 9 crayons originally. Benny added 3 more. So there are 9 + 3 = 12.
#### 12
Therefore, the answer (arabic numerals) is \textbf{12}",12,12.0
"There are 5 oak trees currently in the park . Park workers will plant 4 oak trees today . How many oak trees will the park have when the workers are finished ?
There are 5 oak trees. The workers will plant 4. 5 + 4 is 9. The answer is 9.
Therefore, the answer (arabic numerals) is \textbf{9}",9,9.0
"Tom found 7 seashells but 4 were broken . How many unbroken seashells did Tom find ?
Tom found 7 seashells. 4 were broken, so 7 - 4 = 3 were not. The 3 were unbroken.
Therefore, the answer (arabic numerals) is \textbf{3}",3,3.0
"Sally picked 7 lemons and Mary picked 9 lemons from the lemon tree . How many lemons were picked in total ?
Sally picked 7 lemons and Mary picked 9 lemons, so in total they picked 7 + 9 = 16 lemons.
Therefore, the answer (arabic numerals) is \textbf{16}",16,16.0
"A restaurant served 6 cakes during lunch and 9 during dinner today . How many cakes were served today ?
The restaurant served 6 cakes during lunch and 9 during dinner. 6 + 9 is 15.
#### 15
Therefore, the answer (arabic numerals) is \textbf{15}",15,15.0
"Joan has 8 orange balloons but lost 2 of them . How many orange balloons does Joan have now ?
Joan had 8 orange balloons, and she lost 2, so she has 8 - 2 = 6 orange balloons now.
Therefore, the answer (arabic numerals) is \textbf{6}",6,6.0
"Fred had 7 dimes in his bank . His sister borrowed 3 of his dimes . How many dimes does Fred have now ?
Fred had 7 dimes. His sister took 3. So he has 7 - 3 = 4. The answer is 4.
Therefore, the answer (arabic numerals) is \textbf{4}",4,4.0
"Joan 's cat had 8 kittens . She gave 2 to her friends . How many kittens does she have now ?
Joan's cat had 8 kittens. She gave 2 to her friends, so she has 8 - 2 = 6. The answer is 6.
Therefore, the answer (arabic numerals) is \textbf{6}",6,6.0
"There are 34 dogwood trees currently in the park . Park workers will plant 49 dogwood trees today . How many dogwood trees will the park have when the workers are finished ?
There are 34 trees. 49 more will be planted. 34 + 49 is 83. The answer is 83.
Therefore, the answer (arabic numerals) is \textbf{83}",83,83.0
"There are 27 pencils in the drawer . Nancy placed 45 pencils in the drawer . How many pencils are now there in total ?
There were 27 pencils originally. Then Nancy added 45. So there are 27 + 45 = 72.
#### 72
Therefore, the answer (arabic numerals) is \textbf{72}",72,72.0
"Sam found 35 seashells on the beach , he gave Joan 18 of the seashells . How many seashells does he now have ?
Sam started with 35 seashells. He gave 18 away, so he has 35 - 18 = 17. The answer is 17.
Therefore, the answer (arabic numerals) is \textbf{17}",17,17.0
"Tim has 22 books . Mike has 20 books . How many books do they have together ?
Tim has 22 books, and Mike has 20 books, so together they have 22 + 20 = 42 books.
Therefore, the answer (arabic numerals) is \textbf{42}",42,42.0
"Mike has 87 baseball cards . Sam bought 13 of Mike 's baseball cards . How many baseball cards does Mike have now ?
Mike had 87 cards. Sam took 13. So Mike has 87 - 13 = 74. The answer is 74.
Therefore, the answer (arabic numerals) is \textbf{74}",74,74.0
"Sandy grew 51 pumpkins . Mike grew 23 pumpkins . How many pumpkins did they grow in total ?
Sandy grew 51 pumpkins, and Mike grew 23 pumpkins. So they grew 51 + 23 = 74 pumpkins.
Therefore, the answer (arabic numerals) is \textbf{74}",74,74.0
"Tim has 44 books . Sam has 52 books . How many books do they have together ?
Tim has 44 books, and Sam has 52 books, so together they have 44 + 52 = 96 books.
Therefore, the answer (arabic numerals) is \textbf{96}",96,96.0
"Dan has 64 violet marbles , he gave Mary 14 of the marbles . How many violet marbles does he now have ?
Dan had 64 marbles. He gave 14 away, so he has 64 - 14 = 50. The answer is 50.
Therefore, the answer (arabic numerals) is \textbf{50}",50,50.0
"There are 25 popular trees currently in the park . Park workers will plant 73 popular trees today . How many popular trees will the park have when the workers are finished ?
There are originally 25 trees. 73 more will be planted. 25 + 73 is 98. The answer is 98.
Therefore, the answer (arabic numerals) is \textbf{98}",98,98.0
"There are 54 scissors in the drawer . Keith placed 22 scissors in the drawer . How many scissors are now there in all ?
There were 54 scissors. After Keith added 22, there are 54 + 22 = 76. The answer is 76.
Therefore, the answer (arabic numerals) is \textbf{76}",76,76.0
"Alyssa picked 42 pears and Nancy picked 17 pears from the pear tree . How many pears were picked in all ?
Alyssa picked 42 pears, and Nancy picked 17. So they picked 42 + 17 = 59 pears.
Therefore, the answer (arabic numerals) is \textbf{59}",59,59.0
"Sam had 98 pennies in his bank . He spent 93 of his pennies . How many pennies does he have now ?
Sam had 98 pennies. He spent 93. So he has 98 - 93 = 5.
Therefore, the answer (arabic numerals) is \textbf{5}",5,5.0
"Joan found 79 seashells on the beach , she gave Mike 63 of the seashells . How many seashells does she now have ?
Joan started with 79 seashells. She gave Mike 63. So she has 79 - 63 = 16. The answer is 16.
Therefore, the answer (arabic numerals) is \textbf{16}",16,16.0
"Sam has 110 books . Joan has 102 books . How many books do they have together ?
Sam has 110 books, and Joan has 102 books, so together they have 110 + 102 = 212 books.
Therefore, the answer (arabic numerals) is \textbf{212}",212,212.0
"Mary picked 122 oranges and Jason picked 105 oranges from the orange tree . How many oranges were picked in total ?
Mary picked 122 oranges. Jason picked 105. 122 + 105 = 227. So they picked 227 oranges.
Therefore, the answer (arabic numerals) is \textbf{227}",227,227.0
"Sally had 760 quarters in her bank . She spent 418 of her quarters . How many quarters does she have now ?
Sally started with 760 quarters. She spent 418, so she has 760 - 418 = 342. The answer is 342.
Therefore, the answer (arabic numerals) is \textbf{342}",342,342.0
"Melanie grew 139 turnips . Benny grew 113 turnips . How many turnips did they grow in all ?
Melanie grew 139 turnips, and Benny grew 113 turnips. So they grew 139 + 113 = 252 turnips.
Therefore, the answer (arabic numerals) is \textbf{252}",252,252.0
"Jason has 676 Pokemon cards . Alyssa bought 224 of Jason 's Pokemon cards . How many Pokemon cards does Jason have now ?
Jason had 676 cards. Alyssa took 224. 676 - 224 is 452. The answer is 452.
Therefore, the answer (arabic numerals) is \textbf{452}",452,452.0
"There are 107 walnut trees currently in the park . Park workers will plant 104 walnut trees today . How many walnut trees will the park have when the workers are finished ?
There are originally 107 walnut trees. The workers will plant 104 more. 107 + 104 = 211. The answer is 211.
Therefore, the answer (arabic numerals) is \textbf{211}",211,211.0
"Fred has 709 green balloons , he gave Sandy 221 of the balloons . How many green balloons does he now have ?
Fred started with 709 green balloons. He gave 221 to Sandy, so he has 709 - 221 = 488. The answer is 488.
Therefore, the answer (arabic numerals) is \textbf{488}",488,488.0
"There are 115 pencils in the drawer . Sara placed 100 pencils in the drawer . How many pencils are now there in all ?
There were 115 pencils. Sara added 100. So there are 115 + 100 = 215.
#### 215
Therefore, the answer (arabic numerals) is \textbf{215}",215,215.0
"Jason has 3 Pokemon cards . Benny bought 2 of Jason 's Pokemon cards . How many Pokemon cards does Jason have now ?
Jason started with 3 cards. Benny took 2. 3 - 2 is 1. The answer is 1.
Therefore, the answer (arabic numerals) is \textbf{1}",1,1.0
"Mike has 8 orange marbles , he gave Sam 4 of the marbles . How many orange marbles does he now have ?
Mike had 8 orange marbles, and he gave 4 to Sam, so he now has:

8 - 4 = 4

Mike has 4 orange marbles.
Therefore, the answer (arabic numerals) is \textbf{4}",4,4.0
"Joan had 5 dimes in her bank . She spent 2 of her dimes . How many dimes does she have now ?
Joan started with 5 dimes. She spent 2, so she has 5 - 2 = 3 dimes.
Therefore, the answer (arabic numerals) is \textbf{3}",3,3.0
"There are 2 orchid bushes currently in the park . Park workers will plant 4 orchid bushes today . How many orchid bushes will the park have when the workers are finished ?
There are 2 orchid bushes. The workers will plant 4 more. 2 + 4 is 6. The answer is 6.
Therefore, the answer (arabic numerals) is \textbf{6}",6,6.0
"Sara picked 6 pears and Tim picked 5 pears from the pear tree . How many pears were picked in total ?
Sara picked 6 pears, and Tim picked 5 pears. So in total, they picked 6 + 5 = 11 pears.
Therefore, the answer (arabic numerals) is \textbf{11}",11,11.0
"Sam grew 4 watermelons , but the rabbits ate 3 watermelons . How many watermelons does Sam have ?
Sam started with 4 watermelons. The rabbits ate 3, so he has 4 - 3 = 1.
Therefore, the answer (arabic numerals) is \textbf{1}",1,1.0
"Jason had Pokemon cards . He gave 9 to his friends . He now has 4 Pokemon cards . How many Pokemon cards did he have to start with ?
Jason has 4 cards now. He gave 9 to his friends. So he had 4 + 9 = 13. The answer is 13.
Therefore, the answer (arabic numerals) is \textbf{13}",13,13.0
"Mary had 7 nickels in her bank . Her dad gave her 5 nickels . How many nickels does Mary have now ?
Mary had 7 nickels. Her dad gave her 5 more. So she has 7 + 5 = 12 nickels.
Therefore, the answer (arabic numerals) is \textbf{12}",12,12.0
"Keith grew 6 turnips . Alyssa grew 9 turnips . How many turnips did they grow in all ?
Keith grew 6 turnips, and Alyssa grew 9 turnips, so they grew 6 + 9 = 15 turnips.
Therefore, the answer (arabic numerals) is \textbf{15}",15,15.0
"Mary has 9 yellow marbles Joan has 3 yellow marbles . How many yellow marbles do they have in all ?
Mary has 9 yellow marbles, and Joan has 3, so they have 9 + 3 = 12 yellow marbles.
Therefore, the answer (arabic numerals) is \textbf{12}",12,12.0
"Sally grew 6 carrots . Fred grew 4 carrots . How many carrots did they grow in all ?
Let's add the number of carrots they grew:

Sally grew 6 carrots
Fred grew 4 carrots
-------------------
They grew 6 + 4 = 10 carrots
Therefore, the answer (arabic numerals) is \textbf{10}",10,10.0
"Tom found 5 seashells on the beach . he gave Jessica 2 of the seashells . How many seashells does he now have ?
Tom had 5 seashells. He gave 2 away, so he has 5 - 2 = 3.
Therefore, the answer (arabic numerals) is \textbf{3}",3,3.0
"Fred has 5 baseball cards . Melanie bought 3 of Fred 's baseball cards . How many baseball cards does Fred have now ?
Fred had 5 baseball cards. Melanie took 3, so he has 5 - 3 = 2. The answer is 2.
Therefore, the answer (arabic numerals) is \textbf{2}",2,2.0
"Mary had 8 potatoes in the garden . The rabbits ate 3 of the potatoes . How many potatoes does Mary now have ?
Mary had 8 potatoes, and the rabbits ate 3. So, she has:
8 - 3 = 5

Mary now has 5 potatoes.
Therefore, the answer (arabic numerals) is \textbf{5}",5,5.0
"There are 9 oak trees currently in the park . Park workers had to cut down 2 oak trees that were damaged . How many oak trees will the park have when the workers are finished ?
The park started with 9 oak trees. After the workers are done, there will be 9 - 2 = 7. The answer is 7.
Therefore, the answer (arabic numerals) is \textbf{7}",7,7.0
"Jessica had 8 quarters in her bank . Her sister borrowed 3 of her quarters . How many quarters does Jessica have now ?
Jessica started with 8 quarters. Then she gave 3 to her sister, so she has 8 - 3 = 5. The answer is 5.
Therefore, the answer (arabic numerals) is \textbf{5}",5,5.0
