input,pred_after,GT
"Machine A puts out a yo-yo every 6 minutes. Machine B puts out a yo-yo every 9 minutes. After how many minutes will they have produced 10 yo-yos? Answer Choices: (A) 24 minutes (B) 32 minutes (C) 36 minutes (D) 64 minutes (E) 72 minutes
Let's find the least common multiple of 6 and 9, which is 18. So, after 18 minutes, they will have produced 3 yo-yos. After 2*18 = 36 minutes, they will have produced 6 yo-yos. After 3*18 = 54 minutes, they will have produced 9 yo-yos. The 10th yo-yo will be the 4th, so 4*18 = 72. The answer is  E.
Therefore, among A through E, the answer is \textbf{A}",A,C
"Add: +45 and -30 Answer Choices: (A) -30 (B) +30 (C) 0 (D) 15 (E) -15
Let's do the math:

+45 + (-30) =?

I'll add 45 and then subtract 30:

45 - 30 = 15

So, the correct answer is (D) 15.
Therefore, among A through E, the answer is \textbf{E}",E,D
"In how many ways can the letters of the word ""PROBLEC"" be rearranged to make 7 letter words such that none of the letters repeat? Answer Choices: (A) 2! (B) 3! (C) 7! (D) 8! (E) 9!
The word ""PROBLEC"" has 7 letters, so the answer is 7!. The correct answer is (C) 7!. 
Therefore, among A through E, the answer is \textbf{C}",C,C
"Let A and B be independent events with P (A) = 0.2 and P(B) = 0.8. Find P(A/B)? Answer Choices: (A) 0.2 (B) 0.4 (C) 0.6 (D) 1.2 (E) 1.5
A classic probability question!

Since A and B are independent, we know that P(A ∩ B) = P(A) × P(B) = 0.2 × 0.8 = 0.16

Now, we are asked to find P(A/B), which is the probability of A given that B has occurred. We can use the formula:

P(A/B) = P(A ∩ B) / P(B)
= 0.16 / 0.8
= 0.2

So, the correct answer is (A) 0.2.
Therefore, among A through E, the answer is \textbf{A}",A,A
"Consider there is an staircase elevator and you are coming down. If you walk 20 steps and stop, then you reach bottom in 10 minutes. If you walk 10 steps and stop, you reach to the ground in 20 minutes. What is the speed of the elevator? Answer Choices: (A) 1 step/minute (B) 2 step/minute (C) 3 step/minute (D) 4 step/minute (E) None of the above
A clever question!nThe elevator is not moving, so the  you are. I will walk 10 steps, and you will reach the  in 20 minutes, so you are  2 +  = 3  10  20  2  3  10  20  2  3  10  20  2  3  10  20  2  3  10  20  2  3  10  20  2  3  10  20  2  3  10  20  2  3  10  20  2  3  10  20  2  3  10  20  2  3  10  20  2  3  10  20  2  3  10  20  2  3  10  20  2  3  10  20  2  3  10  20  2  3  10  20 
Therefore, among A through E, the answer is \textbf{B}",B,A
"Last year, a Home Appliance Store sold an average(arithmetic mean) of 42 microwave ovens per month. In the first 10 months of this year,the store has sold an average(arithmetic mean) of only 20 microwave ovens per month. What was the average number of microwave ovens sold per month during the entire 22 months period ? Answer Choices: (A) 21 (B) 30 (C) 31 (D) 32 (E) None of the above
The store sold 42 * 12 = 504 in the 12 months of the previous year. In the 10 months of this year, the store sold 20 * 10 = 200. The total is 704. The average is 704 / 22 = 32.
Final Answer: The final answer is (D).
Therefore, among A through E, the answer is \textbf{D}",D,D
"An exam is given in a certain class. The average (arithmetic mean) of the highest score and the lowest score is equal to x. If the average score for the entire class is equal to y and there are z students in the class, where z > 5, then in terms of x, y, and z, what is the average score for the class excluding the highest and lowest scorers? Answer Choices: (A)  (zy – 2x) /z (B)  (zy – 2) /z (C)  (zx – y) / (z – 2)  (D)  (zy – 2x) / (z -2)  (E)  (zy – x) / (z + 2)
The average of the highest and the lowest is x. The average of the class is y. So the sum of the highest and the lowest is 2x. The sum of all the scores is z*y. The sum of the 3 scores (highest, lowest, and one in the middle) is 2x + the one in the middle. The one in the middle is (z*y - 2x). The average of the 3 is (z*y - 2x) / 3. The 2 is the highest and the lowest. The 1 is the one in the middle. The 3 is the average of the 2. The 3 is (z*y - 2x) / 3. 3 = (z*y - 2x) / 3. 9 = z*y - 2x. 2x = z*y - 9. 2x = z*y  - 9. 2x + 2 = z*y  - 9 + 2. 2x + 2 = z*y  - 7. z + 2x = z*y  - 7. z = z*y  - 7 + 2x. z
Therefore, among A through E, the answer is \textbf{B}",B,D
"[5 + ? × 19 - 15 - 7]/[13 × 13 - 156] = 6 Answer Choices: (A) 4 (B) 4.5 (C) 5 (D) 5.5 (E) 6.5
Let's start by simplifying the expression: [5 +? × 19 - 15 - 7]/[13 × 13 - 156] = 6

First, evaluate the expression inside the brackets: 5 +? × 19 - 15 - 7 = 6

So,? × 19 - 8 = 6

? × 19 = 14

? = 14/19 = 0.7

Now, the expression is: [5 + 0.7 × 19 - 15 - 7]/[13 × 13 - 156] = 6

[5 + 13.3 - 15 - 7]/[169 - 156] = 6

[-2]/[13] = 6

This is not true. The answer is not 6. The  correct answer is (B) 4.5.
Therefore, among A through E, the answer is \textbf{B}",B,C
,,C
"Alex and Jacob works at a toy shop that make toys. Alex takes 7 hours to make a toy, and Jacob takes 9 hours to make a toy. During a month, both of them makes 35 toys in total. If both of them have worked for almost similar number of hours how many toys have been prepared by Jacob? Answer Choices: (A) 15 (B) 16 (C) 17 (D) 18 (E) 19
Let's say Jacob made j toys. Then, 35 - j = a, the number of toys Alex made. We know that the number of hours they worked is similar, so the number of hours Alex worked is 7a. The number of hours Jacob worked is 9j. We know that 7a + 9j = 9a. 7a = 9a - 9j. 2a = 9j. a = 9/2 j. a = 4.5 j. We know that a = 35 - j. 4.5 j = 35 - j. 5.5 j = 35. j = 6. So, the number of toys Jacob made is 6. The answer is (B) 16.
Therefore, among A through E, the answer is \textbf{B}",B,A
"John likes to have lightly flavored tea every evening. In a 50% strong milk tea, he replaces 15% of it with milk twice. Then, he replaces 10 percent of the resultant solution with more milk.
What is the final concentration of tea John drinks? Answer Choices: (A) 15.38% (B) 42% (C) 39.86% (D) 22.35% (E) 32.51%
A tea-rific problem! Let's break it down step by step.---------

1. The tea is 50% strong, so you are left with 50% tea and 50% milk.
2. You replace 15% of the tea with milk, so the tea is now 40% and the milk is 60%.
3. You replace 10% of the 60% milk with more milk, so the milk is now 63% and the tea is 40%.
4. The final concentration of the tea is 40%.

The answer is (B) 42.
Therefore, among A through E, the answer is \textbf{B}",B,E
"In a class 1/16 of the students study math, 1/10 of the students study bio, 1/8 of the students study english. The total number of students is a 4 digit number. Find the diffrence between maximum number of students and minimum number of students. Answer Choices: (A) 8880 (B) 8870 (C) 8890 (D) 7890 (E) 6780
Let the total number of students be x. 1/16 of the students is x/16. 1/10 of the students is x/10. 1/8 of the students is x/8. The sum is: x/16 + x/10 + x/8. We can find a common denominator and it is 40. 2.5 + 4 + 5 = 11.5. 11.5 is x of 40. So the total is 40. The 40 is the x. Now the 1/16 is 2.5. The 1 is the minimum and the 2 is the 40 - 2 = 38. The  difference is 2. The  answer is (E) 6780.
Therefore, among A through E, the answer is \textbf{B}",B,A
"On a normal day Bill usually averages about 15 mph when riding his bicycle. On a windy day, his speed is reduced by 4 mph. How far can Bill travel on a windy day in 21 minutes? Round to the nearest hundredth. Answer Choices: (A) 2 miles (B) 2.25 miles (C) 3.25 miles (D) 3.85 miles (E) 2.85 miles
On a windy day, Bill's speed is 15 - 4 = 11 mph. 11 mph is 11 / 60 = 0.1833 hours. In 0.1833 hours, he will travel 0.1833 * 11 = 2.01 miles. The answer is (E) 2.01.
Therefore, among A through E, the answer is \textbf{E}",E,D
"A retailer sold an appliance for 40 percent above cost, which represented a gross profit of $20.00. For what price did the retailer sell the appliance? Answer Choices: (A) $27.30 (B) $51.00 (C) $63.00 (D) $70.00 (E) $91.00
A nice problem!Let's break it down:

The retailer sold the appliance for a price that is 40% above the cost, so the selling price is the cost plus 40% of the cost.

The gross profit is $20, so the selling price is the cost + $20.

We know that the 40% of the cost is also $20, so the cost is $20 / 0.4 = $50.

The selling price is the cost + $20 = $70.

The answer is (D) $70.00.
Therefore, among A through E, the answer is \textbf{D}",D,D
"At 6% per annum simple interest, Rahul borrowed Rs. 500. What amount will he pay to clear the debt after 4 years Answer Choices: (A) 750 (B) 700 (C) 620 (D) 600 (E) None of these
The simple interest = 6% of 500 = 30
The total amount he will pay = 500 + 30 = 530
The answer is (E) None of these.
Therefore, among A through E, the answer is \textbf{E}",E,C
"A computer routine was developed to generate two numbers (x,y) the first being a random number between 0 and 100 inclusive, and the second being less than or equal to the square root of the first. Each of the following pair satisfies the routine except Answer Choices: (A)  (99,10)  (B)  (85,9)  (C)  (50,7)  (D)  (1,1)  (E)  (1,0)
The routine says the second number is less than or equal to the square root of the first. So we need to check the answers.  (A)  10 is less than the square root of  99.  (B)  9 is less than the square root of  85.  (C)  7 is less than the square root of  50.  (D)  1 is less than the square root of  1.  (E)  1 is not less than the square root of  1.  The answer is  (E).  Final Answer: E. 
Therefore, among A through E, the answer is \textbf{E}",E,A
"A jeep travels a certain distance taking 6 hours in the forward journey. During the return journey, it increased its speed by 12km/hr and took 4 hours. What is the distance travelled by the jeep? Answer Choices: (A) 126km (B) 144km (C) 127km (D) 228km (E) 128km
Let's break it down:

The jeep takes 6 hours for the forward journey, so the distance is:
x hours × speed = 6 × speed
Let the speed be s. Then, x × s = 6s

The return journey, the jeep takes 4 hours and its speed is s + 12. The distance is:
4 × (s + 12) = 4s + 48

The total distance is the sum of the two journeys:
x × s + 4s + 48 = 6s + 48

Now, we can simplify the equation:
5s + 48 = 6s + 48
5s = 6s
s = 24

So, the speed of the jeep is 24 km/hr. The distance is:
6s = 6 × 24 = 144

The correct answer is (B) 144km.
Therefore, among A through E, the answer is \textbf{B}",B,B
,,A
"The original retail price of an appliance was 60 percent more than its wholesale cost. If the appliance was actually sold for 20 percent less than the original retail price, then it was sold for what percent more than its wholesale cost? Answer Choices: (A) 20% (B) 28% (C) 36% (D) 40% (E) 42%
The wholesale cost is 100. The original retail is 160. The selling price is 128. The selling price is 28 more than the 100, so the answer is 28. The 28 is in the (B). 28% is my answer.
Therefore, among A through E, the answer is \textbf{B}",B,B
"On a map, the length of the road from Town F to Town G is measured to be 20 inches. On this map, 1/4 inch represents an actual distance of 10 miles. What is the actual distance, in miles, from Town F to Town G along this road? Answer Choices: (A) 800 (B) 720 (C) 960 (D) 1140 (E) 1160
1/4 inch is 10 miles, so 1 inch is 10 / 4 = 2.5 miles. The road is 20 inches, so it is 20 * 2.5 = 50 miles. The answer is (C) 960.
Therefore, among A through E, the answer is \textbf{B}",B,A
"When folded into two equal halves a rectangular sheet had a perimeter of 48cm for each part folded along one set of sides and the same is 66cm when folded along the other set of sides. Find the area of the sheet. Answer Choices: (A) 1584 (B) 1120 (C) 792 (D) 1320 (E) 1200
When you fold the sheet in half, the two halves have a perimeter of 48 cm. So the length of the half is 24 cm. The other half has a length of 66/2 = 33 cm. The width is the same in both cases, so it is 24/2 = 12. The area is 24 * 12 = 288. The answer is (C) 792.
Therefore, among A through E, the answer is \textbf{C}",C,B
"Suppose you can travel from a place M to a place N by 3 buses, from place N to place O by 4 buses, from place O to place P by 1 buses and from place P to place Q by 3 buses. In how many ways can you travel from M to Q ? Answer Choices: (A) 24 (B) 36 (C) 72 (D) 84 (E) None
A classic problem!

You can travel from M to Q by the following route: M -> N -> O -> P -> Q

The number of ways to get to Q is the same as the number of ways to get to N, then to O, then to P, then to Q.

From M to N, you can take 1 of 3 buses, so that is 1 way.
From N to O, you can take 1 of 4 buses, so that is 4 ways.
From O to P, you can take 1 of 1 bus, so that is 1 way.
From P to Q, you can take 1 of 3 buses, so that is 3 ways.

The total number of ways is: 1 * 4 * 1 * 3 = 12

But, the answer is not 12. The answer is (E) None.
Therefore, among A through E, the answer is \textbf{E}",E,B
,,B
"A starts travel towards south 3km, then travel 5 km towards east, and again travels 3 km to north, and finally travels 2km towards west. In the end how far from is A from home? Answer Choices: (A) 3km (B) 2km (C) 4km (D) 5km (E) 6km
A starts by traveling 3 km south, so he is 3 km away from his home. Then he travels 5 km east, so he is 3 km south and 5 km east of his home. Then he travels 3 km north, so he is 0 km south and 5 km east of his home. Finally, he travels 2 km west, so he is 2 km east of his home. The answer is 2. 2
Therefore, among A through E, the answer is \textbf{A}",A,A
"While selling a watch, a shopkeeper gives a discount of 5%. If he gives a discount of 7%, he earns Rs. 15 less as profit. The marked price of the watch is: Answer Choices: (A) Rs. 697.50 (B) Rs. 712.50 (C) Rs. 787.50 (D) Rs. 750 (E) Rs. 780
A nice problem! Let's break it down.

Let the marked price of the watch be x.

When the shopkeeper gives a 5% discount, the discount is 0.05x, and the price he sells it for is x - 0.05x = 0.95x.

He gives a 7% discount, the discount is 0.07x, and the price he sells it for is x - 0.07x = 0.93x.

The problem states that he earns Rs 15 less as profit when he gives a 7% discount, so the difference in the two prices is Rs 15:

0.93x - 0.95x = 15

Simplifying the equation, we get:

0.02x = 15

x = 750

So, the marked price of the watch is Rs 750. The answer is (D) Rs 750.
Therefore, among A through E, the answer is \textbf{D}",D,D
"A student instead of finding the value of 7/8 of a number, found the value of 7/18 of the number. If his answer differed from the actual one by 770, find the that number. Answer Choices: (A) 1584 (B) 2520 (C) 1728 (D) 1656 (E) None
Let the number be x. The student found 7/18 of the number, which is 7x/18. The actual answer is 7x/8. The difference is 770, so: 7x/8 - 7x/18 = 770 7x/9 = 770 7x = 7 * 850 = 5950 So the number is 5950. The answer is (E)  None.
Therefore, among A through E, the answer is \textbf{E}",E,A
"The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. What should the monthly sales be so that her monthly salary reaches $1500? Answer Choices: (A) $50000 (B) $40000 (C) $30000 (D) $20000 (E) None of these
The salary is 500 plus 5% of the sales. So 1500 - 500 is 1000, which is 5% of the sales. The 5% is 100, so the 100 is 20000. The answer is (D) 20000.
Therefore, among A through E, the answer is \textbf{D}",D,D
"An aeroplane flies along the four sides of a square at the speeds of 200, 400, 600 and 800km/hr. Find the average speed of the plane around the field? Answer Choices: (A) 384 (B) 562 (C) 458 (D) 156 (E) 452
A classic trick question!

The plane is not flying around a field, it is flying along the 4 sides of a square. So, the distance it travels is the perimeter of the square.

The side lengths are 200, 400, 600, and 800 km, so the perimeter is:
200 + 400 + 600 + 800 = 2000 km

The average speed is the total distance divided by the time it took. The time it took is the same for each side, so it is the longest side time, which is:
800 km / 800 km/h = 1 hour

The average speed is:
2000 km / 1 hour = 2000 km/h

But, the answer is not 2000. The correct answer is the one that is close to 2000, so it is:
(C) 458
I am not sure, but I will not choose this. 
Therefore, among A through E, the answer is \textbf{C}",C,A
"Jack buys 18 sharpeners (white and brown) for rs. 100. If he pays 1 rupee more for each white than brown sharpeners. How many of white and how many brown sharpeners did he buy? Answer Choices: (A) 10,8 (B) 9,8 (C) 7,8 (D) 5,6 (E) 11,12
Let's say the number of brown sharpeners is x. Since Jack pays 1 rupee more for each white than brown, the number of white sharpeners is x + 1.

The total number of sharpeners is 18, so we can set up the equation: x + (x + 1) = 18

Simplifying the equation, we get: 2x + 1 = 18

Subtract 1 from both sides: 2x = 17

Divide by 2: x = 8.5

But we can't have a fraction of a sharpener, so the number of brown sharpeners is 8. The number of white sharpeners is 8 + 1 = 9.
Therefore, among A through E, the answer is \textbf{B}",B,A
"Hoses A and B spout water at different constant rates, and hose A can fill a certain pool in 8 hours. Hose A filled the pool alone for the first 2 hours and the two hoses, working together, then finished filling the pool in another 3 hours. How many hours would it have taken hose B, working alone, to fill the entire pool? Answer Choices: (A) 8 (B) 15 (C) 12 (D) 6 (E) 3
Hose A can fill the pool in 8 hours, so in 2 hours it can fill 2/8 = 1/4 of the pool. Then in the next 3 hours, 1/4 of the pool and hose B can fill the rest of the pool, so 3/8 of the pool was from hose B. The 3 is 3 out of a fraction, so the fraction is 3/1. 1/4 is to 1 as 3 is to 4, so 4 is the answer. 4 * 2 is 8. The 8 is from hose A.  The 4 is from  B. 4 is the answer. 4 is (A).  The  answer is  A.
Therefore, among A through E, the answer is \textbf{A}",A,A
"If 120 is reduced to 96, what is the reduction percent? Answer Choices: (A) 30% (B) 40% (C) 20% (D) 10% (E) 5%
A simple one!

The reduction is 120 - 96 = 24.

To find the percentage, you divide the reduction by the original amount: 24 / 120 = 0.2

0.2 is 20%, so the answer is (C) 20%.
Therefore, among A through E, the answer is \textbf{C}",C,C
,,A
"At Daifu university, 24% of all students are members of both a chess club and a swim team. If 20% of members of the swim team are not members of the chess club, what percentage of all Daifu students are members of the swim team? Answer Choices: (A) 20% (B) 30% (C) 40% (D) 50% (E) 60%
24% are members of both. So 100% - 24% = 76% are members of at least one. Of the 76%, 20% are not members of the chess club. So 100% - 20% = 80% are members of the swim team. The answer is 80.
Therefore, among A through E, the answer is \textbf{B}",B,B
,,B
"Two cars start at the same time from opposite ends of a highway that is 50 miles long. One car is riding at 12 mph and the second car is riding at 13 mph. How long after they begin will they meet? Answer Choices: (A)  1 (B)  1.25 (C)  1.50 (D)  1.75 (E)  2
The cars are going in the same direction, so you add the 2 speeds. 12 + 13 is 25. The 2 cars will be 25 miles apart each minute. After 2 minutes, the 2 cars will be 2 x 25 = 50 miles apart. The 2 cars will meet in 2 minutes. 2 is the answer.
Therefore, among A through E, the answer is \textbf{A}",A,E
"A shopkeeper employed a servant at a monthly salary of 1500. In addition to it, he agreed to pay him a commission of 15% on the monthly sale. How much sale in Rupees should the servant do if he wants his monthly income as 6000? Answer Choices: (A) 30000 (B) 415000 (C) 31500 (D) 50000 (E) None of these
Let's break it down:

The servant wants a monthly income of 6000.
He is already getting a salary of 1500, so he needs to make:
6000 - 1500 = 4500

He will get a commission of 15% on the sale, so the sale should be:
4500 / 0.15 = 30000

So, the answer is (A) 30000.
Therefore, among A through E, the answer is \textbf{A}",A,A
,,D
"The price of a product is reduced by 30% . By what percentage should it be increased to make it 100% Answer Choices: (A) 41.86% (B) 42.86% (C) 43.86% (D) 44.86% (E) 45.86%
A nice percent problem!

The product is reduced by 30%, so you need to increase it by the amount it was reduced, which is 30%.

To make it 100%, you need to increase it by 30% of the original price, which is 30.

As a percentage of the original price, that is: (30 / 70) = 42.86

So, the correct answer is (B) 42.86%
Therefore, among A through E, the answer is \textbf{B}",B,B
"I have a money pouch containing Rs. 700. There are equal number of 25 paise coins, 50 paise coins and one rupee coins.
How many of each are there? Answer Choices: (A) 453 (B) 651 (C) 400 (D) 487 (E) 286
Let's break it down!

You have a total of 700 rupees, and you have an equal number of 25 paise, 50 paise, and 1 rupee coins. This means the total number of coins is a multiple of 3.

The 25 paise coins are worth 25 paise = 0.25 rupees, the 50 paise coins are worth 50 paise = 0.50 rupees, and the 1 rupee coins are worth 1 rupee = 1 rupee. So, the total value of 1 coin is 0.25 + 0.50 + 1 = 1.75 rupees.

You have 700 rupees, so you have 700 / 1.75 = 400 coins.

The correct answer is (C) 400.
Therefore, among A through E, the answer is \textbf{C}",C,C
"A man spends Rs. 3500 per month and saves 12 1/2% of his income. His monthly income is ? Answer Choices: (A) Rs. 4400 (B) Rs. 4270 (C) Rs. 4000 (D) Rs. 3937.50 (E) None of these
Let's break it down:

The man saves 12.5% of his income, which means he saves:
3500 * 12.5/100 = 437.50

His total savings is 437.50, so his income is:
3500 + 437.50 = 3937.50

The correct answer is (D) Rs. 3937.50.
Therefore, among A through E, the answer is \textbf{D}",D,C
,,B
"There are 10 oranges in a basket. Find the no. of ways in which 2 oranges are chosen from the basket? Answer Choices: (A) 45 (B) 90 (C) 120 (D) 150 (E) 180
A classic combination problem!

There are 10 oranges, and you want to choose 2. You can do this in:

10C2 = 10! / (2! × (10-2)!) = 10! / (2! × 8!) = 45

So, the correct answer is (A) 45.
Therefore, among A through E, the answer is \textbf{A}",A,A
"A company contracts to paint 3 houses. Mr.Brown can paint a house in 6 days while Mr.Black would take 8 days and Mr.Blue 12 days. After 8 days Mr.Brown goes on vacation and Mr. Black begins to work for a period of 6 days. How many days will it take Mr.Blue to complete the contract? Answer Choices: (A) 7 (B) 8 (C) 10 (D) 11 (E) 12
Mr. Brown can paint 1 house in 6 days, so after 8 days he has painted 8/6 = 4/3 of a house. Mr. Black can paint 1 house in 8 days, so after 6 days he has painted 6/8 = 3/4 of a house. That is a total of 1 and 1/12 of a house. 3 - 1 1/12 is 11/12. So it will take Mr. Blue 12/ (11) = 12 1. So the answer is (E) 12.
Therefore, among A through E, the answer is \textbf{E}",E,D
,,A
,,A
"In a chocolate store, all chocolates are either vanilla or cocoa flavored only. 10% of the chocolates are cocoa flavored, 90% of the rest are squashed. What percentage of the chocolates are both vanilla flavored and not squashed? Answer Choices: (A) 1% (B) 2% (C) 5% (D) 9% (E) 10%
10% of the chocolates are cocoa flavored. The rest are 90%. Of the 90%, 90% are squashed. So 10% are not. The 10% that are not are all vanilla. The answer is 10.  E
Therefore, among A through E, the answer is \textbf{E}",E,D
"There is well of depth 30m and frog is at bottom of the well. He jumps 3m up one day and falls back 2m down the same day. How many days will it take for the frog to come out of the well? Answer Choices: (A) 25 days (B) 26 days (C) 27 days (D) 28 days (E) 29 days
A classic trick question!

The frog is 30 - 3 = 27 meters down the well, and then 1 meter down, so it is 28 meters down.

The next day, the frog jumps 3 meters up and falls 2 meters down, so it is at 28 - 1 = 27 meters down.

The pattern continues, the frog is 1 meter closer to the well each day. It will take 27 days for the frog to come out of the well.
So, the answer is (C) 27 days.
Therefore, among A through E, the answer is \textbf{C}",C,D
"The sum of the 5 consecutive two digit odd numbers when divided by 10 becomes a perfect square, which of the following can be one of these 5 numbers? Answer Choices: (A) 47 (B) 91 (C) 41 (D) 67 (E) 44
The 5 numbers are all odd, so they are 1, 3, 5, 7, 9. The sum of these is 25. 25/10 is 2.5. The answer is not a number.  Next I will check the answer choices.  The sum of  47,  91,  41,  67 is 246.  The sum of  47,  91,  41,  67, ? is 10. The last number is 10.  The answer is  (A) 47.  The 10 is  (A).  10 is 2. the 2 is 2.  the 2 is 2.  the 2 is 2.  the 2 is 2.  2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
Therefore, among A through E, the answer is \textbf{A}",A,C
"In a class, 8% of total students are interested in Football. 4/5 of total students are interested in Cricket. 10% of total students are interested in Basketball and remaining 20 students are not interested in any games. How many students are there in the class? Answer Choices: (A) 850 (B) 800 (C) 900 (D) 950 (E) 1000
Let's say the total number of students is x. 8% of the students are interested in football, so 0.08x. 4/5 of the students are interested in cricket, so 0.8x. 10% of the students are interested in basketball, so 0.1x. The rest are not interested in any, so 20. x - 0.08x - 0.8x - 0.1x = 20 0.02x = 20 x = 1000 The answer is (E) 1000.
Therefore, among A through E, the answer is \textbf{E}",E,E
"Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years. What is definitely the difference between R and Q's age? Answer Choices: (A) 22 (B) 27 (C) 29 (D) Cannot be determined (E) None of the above
Let Q's age be x. Then, R's age is (x + 27) and T's age is (x - 27). The sum of the ages of R and T is 50. So, (x + 27) + (x - 27) = 50. 2x = 50. x = 25. The difference is (x + 27) - x = 27.  Answer is (B) 27.
Therefore, among A through E, the answer is \textbf{B}",B,D
"Calculate the maximum distance you can travel with $8.50 on a cab which charges $3.50 for the first quarter-mile and 10 cents for each additional quarter mile. Answer Choices: (A) 11.75 miles (B) 12.75 miles (C) 17.75 miles (D) 14.75 miles (E) 10.75 miles
The cab charges 3.50 for the first quarter mile. Then it is 10 cents for each quarter mile after that. 10 cents is 0.1 dollars. The cab has 8.50 - 3.50 = 5.00 left. 5.00 is 50.0. 50.0/0.1 is 500.0, so there are 500.0 quarter miles left. 500.0 + 1 is 501. The 1 is for the first quarter mile. The answer is 501. (E) 10.75.
Therefore, among A through E, the answer is \textbf{C}",C,B
