input,pred_after,GT
"Though the thin film seemed fragile, for it's intended purpose it was actually nearly what? Answer Choices: (A) indestructible (B) durable (C) undestroyable (D) indestructible (E) unbreakable
The correct answer is B) durable. The sentence is saying that the thin film is not as it seems, so it is not E) unbreakable.  B) is the best fit.
Therefore, among A through E, the answer is \textbf{B}",B,D
"Where could you find a toilet that only friends can use? Answer Choices: (A) rest area (B) school (C) stadium (D) apartment (E) hospital
I think you are trying to trick me! But I will answer. The correct answer is (B) school.  A toilet that only friends can use is a friends toilet, and you can find it at the school.  2019 05 12 13  10  Reply  :  201  2  :  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
Therefore, among A through E, the answer is \textbf{B}",B,D
"What is someone who isn't clever, bright, or competent called? Answer Choices: (A) clumsy (B) ineffectual (C) dull (D) clumsy (E) stupid
The correct answer is (E) stupid.  The other options are not the best fit.  A stupid person is one who is not clever, bright, or competent.  A: Clumsy is when you are not good at something, but  B: Ineffectual is when you do not do a good job, and  C: Dull is a description, not a person.  2 more is clumsy. 
Therefore, among A through E, the answer is \textbf{E}",E,E
"When wildlife reproduce we often refer to what comes out as what? Answer Choices: (A) raise children (B) have children (C) photo copy (D) offspring (E) accidently got pregnant somehow
The correct answer is (D) offspring. When a wildlife gives birth, the baby is called an offspring. 
Therefore, among A through E, the answer is \textbf{D}",D,D
"The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what? Answer Choices: (A) forrest (B) barn (C) public office (D) out of doors (E) freezer
The correct answer is (B) barn. The question is asking where the chicken eggs are, and the weasel is a problem, so the barn is the most likely place. 
Therefore, among A through E, the answer is \textbf{B}",B,B
"Blue read material outside of his comfort zone because he wanted to gain what? Answer Choices: (A) new perspective (B) entertained (C) understanding (D) hunger (E) tired eyes
The correct answer is (A) new perspective.  Blue is reading something outside of his comfort zone, so he is likely trying to get a new point of view.
Therefore, among A through E, the answer is \textbf{A}",A,A
"After he got hired he hoped for success at his what? Answer Choices: (A) vocation (B) new job (C) michigan (D) working hard (E) manual
The correct answer is (B) new job. After he got hired, he was referring to the new job, so (A) vocation is not the right answer.  Michigan is a state, so (C) is not the right a
Therefore, among A through E, the answer is \textbf{B}",B,B
,,B
"If you are prone to postpone work what will you have to do in order to finish on time? Answer Choices: (A) eat (B) hasten (C) antedate (D) bring forward (E) advance
You are trying to trick me! The correct answer is B) hasten. I will hasten to finish my work, so I will not be late.  I am prone to postpone, so I will do the opposite.  B  2019  11 12 11  Reply  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11
Therefore, among A through E, the answer is \textbf{B}",B,B
"James wanted to find an old underground map from the 50s.  Where might he look for one? Answer Choices: (A) library (B) subway station (C) county engineer's office (D) super market (E) home
The correct answer is (A) library.  Libraries often have a selection of old maps, and the one from the 1950s is likely to be there.
Therefore, among A through E, the answer is \textbf{A}",A,A
"Sean was in a rush to get home, but the light turned yellow and he was forced to do what? Answer Choices: (A) take time (B) dawdle (C) go slowly (D) ocean (E) slow down
The correct answer is E slow down.
Therefore, among A through E, the answer is \textbf{E}",E,E
"Where would a person be doing when having to wait their turn? Answer Choices: (A) have patience (B) get in line (C) sing (D) stand in line (E) turn left
The correct answer is (B) get in line. When you are getting in line, you will have to wait your turn. 
Therefore, among A through E, the answer is \textbf{B}",B,D
"She was always helping at the senior center, it brought her what? Answer Choices: (A) satisfaction (B) heart (C) feel better (D) pay (E) happiness
The correct answer is (A) satisfaction.  She was helping, so it brought her a feeling of being satisfied.
Therefore, among A through E, the answer is \textbf{A}",A,E
"The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what? Answer Choices: (A) keep cloesd (B) train (C) ignition switch (D) drawer (E) firearm
The correct answer is C) ignition switch. The sentence is saying that the lock was not working, so the person is going to work on the ignition switch. 
Therefore, among A through E, the answer is \textbf{C}",C,C
"Who is a police officer likely to work for? Answer Choices: (A) beat (B) direct traffic (C) city (D) street (E) president
The correct answer is (C) city. A police officer is likely to work for a city. 
Therefore, among A through E, the answer is \textbf{C}",C,C
"If you have leftover cake, where would you put it? Answer Choices: (A) quandry (B) refrigerator (C) oven (D) night stand (E) bakery
The correct answer is (B) refrigerator. 
Therefore, among A through E, the answer is \textbf{B}",B,B
"A human wants to submerge himself in water, what should he use? Answer Choices: (A) whirlpool bath (B) coffee cup (C) cup (D) soft drink (E) puddle
The correct answer is (A) whirlpool bath.  A whirlpool bath is a large container of water, so it is the most likely thing the person would use to submerge themselves.
Therefore, among A through E, the answer is \textbf{A}",A,A
"Where is a doormat likely to be in front of? Answer Choices: (A) facade (B) front door (C) doorway (D) entrance porch (E) hallway
The correct answer is (B) front door. A doormat is typically placed in front of the front door, so it is the most specific and correct answer. 
Therefore, among A through E, the answer is \textbf{A}",A,B
"Bob the lizard lives in a warm place with lots of water.  Where does he probably live? Answer Choices: (A) rock (B) tropical rainforest (C) jazz club (D) new mexico (E) rocky places
The correct answer is (B) tropical rainforest. The question says the place is ""warm"" and has ""lots of water"", so it is likely a tropical area. 
Therefore, among A through E, the answer is \textbf{B}",B,B
"August needed  money because he was afraid that he'd be kicked out of his house.  What did he need money to do? Answer Choices: (A) control people (B) pay bills (C) hurt people (D) buy food (E) get things
The correct answer is (B) pay bills.  August was in a situation, so he needed the money to pay his bills.  A 2  Reply 
Therefore, among A through E, the answer is \textbf{A}",A,B
"He needed more information to fix it, so he consulted the what? Answer Choices: (A) chickens (B) google (C) newspaper (D) online (E) manual
The correct answer is E) manual. The person is trying to fix something, so he will refer to the manual to get the information. 
Therefore, among A through E, the answer is \textbf{E}",E,E
"Where can you put a picture frame when it's not hung vertically? Answer Choices: (A) art show (B) wall (C) newspaper (D) car (E) table
The correct answer is (E) table. You can put a picture frame on a table when it is not hung. 
Therefore, among A through E, the answer is \textbf{E}",E,E
,,D
"What is the result of applying for  job? Answer Choices: (A) anxiety and fear (B) increased workload (C) praise (D) less sleep (E) being employed
I can help you with that! The answer is (E) being employed.  You just applied for the job, so you were accepted.  cobra  5: -  2:  3  4  6  3  2  1  4  5  3  1  2  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  
Therefore, among A through E, the answer is \textbf{E}",E,E
"What must someone do before they shop? Answer Choices: (A) get money (B) have money (C) bring cash (D) go to market (E) bring cash
The correct answer is B) have money.  You should have money before you go to shop.
Therefore, among A through E, the answer is \textbf{B}",B,A
"Because John was first violin, he had to bring something important to work ever day. What did he need to bring to work? Answer Choices: (A) music store (B) obesity (C) symphony orchestra (D) ochestra (E) violin case
The correct answer is (E) violin case.  The question says ""he had to bring something important to work ever day"" and the only important thing he has is the violin case, because he is the first violin.
Therefore, among A through E, the answer is \textbf{E}",E,E
"What is a place that usually does not have an elevator and that sometimes has a telephone book? Answer Choices: (A) at hotel (B) kitchen (C) library (D) telephone booth (E) house
The correct answer is (A) at hotel. The hotel has a telephone, so it sometimes has a telephone book. It is also likely to not have an elevator, as it is a smaller hotel. 
Therefore, among A through E, the answer is \textbf{A}",A,E
"Who is likely to be excited about a crab? Answer Choices: (A) fish market (B) pet shop (C) fishmongers (D) intertidal zone (E) obesity
The correct answer is (D) intertidal zone.

An intertidal zone is a area where the sea meets the land, and it is a home for many types of crabs. The people in the intertidal zone are likely to be excited to see a crab. 
Therefore, among A through E, the answer is \textbf{D}",D,C
"Where can a human find clothes that aren't pants? Answer Choices: (A) pants shop (B) on planet earth (C) dress shop (D) school (E) train wreck
The correct answer is (C) dress shop.  You can find a variety of clothes, including those that are not pants, at a dress shop.
Therefore, among A through E, the answer is \textbf{C}",C,C
"If I was getting drunk, and people couldn't understand me, what might I be having? Answer Choices: (A) a seizure (B) slurred speech (C) death (D) forgetfulness (E) pass out
The correct answer is (B) slurred speech. 
Therefore, among A through E, the answer is \textbf{B}",B,B
"When a person is beginning work, what are they building? Answer Choices: (A) time (B) accomplishing (C) working (D) momentum (E) tiredness
The correct answer is (C) working. When a person is beginning work, they are starting to work, not something else. 
Therefore, among A through E, the answer is \textbf{C}",C,D
"A child wants to play, what would they likely want? Answer Choices: (A) fall down (B) breathe (C) play tag (D) be dismembered by a chainsaw (E) become adult
The correct answer is (C) play tag.  The other options are not what a child would want.
Therefore, among A through E, the answer is \textbf{C}",C,C
"Talking to the same person about the same thing over and over again is something someone can what? Answer Choices: (A) social life (B) friendship (C) eye contact (D) get tired of (E) learn lessons from
The correct answer is (D) get tired of.
Therefore, among A through E, the answer is \textbf{D}",D,D
"The teacher doesn't tolerate noise during a test in their what? Answer Choices: (A) movie theatre (B) bowling alley (C) factory (D) store (E) classroom
The correct answer is (E) classroom. The question is asking where the teacher is, and the answer is the classroom, so the teacher does not tolerate noise during the test in the classroom. 
Therefore, among A through E, the answer is \textbf{E}",E,E
"The freeway had no traffic and few buildings, where is it? Answer Choices: (A) california (B) countryside (C) big town (D) florida (E) america
The correct answer is (B) countryside. The description ""The freeway had no traffic and few buildings"" makes it a quiet and rural area, so it is the countryside. 
Therefore, among A through E, the answer is \textbf{B}",B,B
"Where would you go if you wanted to have fun with a few people? Answer Choices: (A) watching television (B) good (C) cinema (D) friend's house (E) fairgrounds
I would choose (E) fairgrounds. It is the most fun with a few people.  You are too 2 Plantae 1 2 3 4 5 6 7 8 9 10 11 12 13  14 15  16 17 18 19 20 21 22 23  24 25  26 27  28 29  30 31 32  33 34  35 36 37 38 39  40 41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81   82  83  84  85  86  87
Therefore, among A through E, the answer is \textbf{A}",A,D
"If there is a place that is hot and arid, what could it be? Answer Choices: (A) bland (B) lifeless (C) sandy (D) neutral (E) freezing
The correct answer is (C) sandy. A place that is hot and arid is often described as a desert, and a desert is a place with a lot of sand. 
Therefore, among A through E, the answer is \textbf{C}",C,B
"What is likely to satisfy someone's curiosity? Answer Choices: (A) hear news (B) read book (C) see favorite show (D) comedy show (E) go somewhere
The correct answer is (B) read book.  A book is a good way to learn and will likely satisfy your curiosite.
Therefore, among A through E, the answer is \textbf{B}",B,A
"If you are in a bar in a glove shaped state where are you? Answer Choices: (A) in my pocket (B) michigan (C) new york city (D) restaurant (E) public house
A clever question! The answer is (B) Michigan. A ""glove shaped state"" is a reference to the shape of Michigan, so you are in a bar in Michigan.
Therefore, among A through E, the answer is \textbf{A}",A,B
"Where would a computer user be using their own computer? Answer Choices: (A) hell (B) school (C) indoors (D) internet cafe (E) house
The correct answer is (E) house.  You are using your own computer, so you are at your home.
Therefore, among A through E, the answer is \textbf{E}",E,E
"Crabs live in what sort of environment? Answer Choices: (A) maritime (B) bodies of water (C) saltwater (D) galapagos (E) fish market
The correct answer is (C) saltwater. Crabs are often found in saltwater, but they can also be in (A) maritime, so I will choose C. 
Therefore, among A through E, the answer is \textbf{A}",A,C
"Where can you find a snake in tall grass? Answer Choices: (A) tree (B) in a jar (C) pet shops (D) feild (E) tropical forest
The correct answer is (D) feild.  Snakes are often in tall grass, so a field is a good place to find one.
Therefore, among A through E, the answer is \textbf{A}",A,D
"What is a place that has a bench nestled in trees? Answer Choices: (A) state park (B) bus stop (C) bus depot (D) statue (E) train station
I think I can help you with that! A place that has a bench nestled in trees is usually a (A) state park. 
Therefore, among A through E, the answer is \textbf{A}",A,A
"Where is a human likely to go as a result of being hungry? Answer Choices: (A) eat in restaurant (B) make bread (C) have lunch (D) cook dinner (E) friends house
The correct answer is (A) eat in restaurant. You are likely to go to a restaurant because you are hungry. 
Therefore, among A through E, the answer is \textbf{A}",A,A
"He was beginning to regret taking the fight when he saw how what his opponent was? Answer Choices: (A) fun (B) joy (C) satisfaction (D) confident (E) pride
The correct answer is E) pride. The sentence is saying that he is regretting the fight, so he must have been proud of himself at the beginning.  The other options do not make sense.
Therefore, among A through E, the answer is \textbf{E}",E,D
"Where would you find a single shower curtain being used? Answer Choices: (A) bathtub (B) washing area (C) hotel (D) shower stall (E) department store
The correct answer is (D) shower stall. A shower curtain is a common item used in a shower stall, and it is usually not used in the other options.  A shower curtain is used to keep the water in the stall, and you would find a single one in a shower stall.
Therefore, among A through E, the answer is \textbf{D}",D,A
"Where is a good idea but not required to have a fire extinguisher? Answer Choices: (A) school bus (B) boat (C) house (D) hospital (E) school
The correct answer is (B) boat. A boat is a good place to be, but it is not required to have a fire extinguisher.  The other options are all places where you should have a fire extinguisher: a school (E), a school bus (A), a house (C), and a hospital (D).
Therefore, among A through E, the answer is \textbf{B}",B,C
"What continent has the most castles? Answer Choices: (A) fairy tale (B) edinburgh (C) germany (D) europe (E) antarctica
A trick question! The correct answer is (D) Europe. Europe has the most castles, not a specific one. 
Therefore, among A through E, the answer is \textbf{D}",D,D
"If you have to read a book that is very dry and long you may become what? Answer Choices: (A) have time (B) boring (C) learn new (D) enjoyable (E) bored
The correct answer is (E) bored.
Therefore, among A through E, the answer is \textbf{E}",E,E
"Sally used a clipboard to hold her papers while she read off names at the beginning of the day.  Where might she work? Answer Choices: (A) desk (B) windows 95 (C) office supply store (D) see work (E) school
The correct answer is (E) school.
Therefore, among A through E, the answer is \textbf{E}",E,E
"The kids didn't clean up after they had done what? Answer Choices: (A) learn things (B) play games (C) disneyland (D) play with toys (E) talking
I think the correct answer is (D) play with toys. The sentence is ""The kids didn't clean up after they had done what?"" and it is likely they were playing with the toys and not cleaning up. 
Therefore, among A through E, the answer is \textbf{D}",D,D
"Despite the name a pawn can be quite versatile, all the parts are important in a what? Answer Choices: (A) chess game (B) scheme (C) chess set (D) checkers (E) north carolina
The correct answer is (A) chess game.  A pawn in a chess game is not very versatile, and the other options are not correct.
Therefore, among A through E, the answer is \textbf{A}",A,A
"What would not be true about a basketball if it had a hole in it but it did not lose its general shape? Answer Choices: (A) punctured (B) popular in america (C) full of air (D) gone (E) round
The correct answer is (D) gone.

The basketball still exists, so it is not gone. The other options are all describing the basketball, so (A) it is punctured, (C) it is not full of air, and (E) it is still round. 
Therefore, among A through E, the answer is \textbf{A}",A,C
,,B
,,C
"Where would you expect to find white mice? Answer Choices: (A) bell cat (B) bush (C) attic (D) countryside (E) laboratory
The correct answer is (E) laboratory. White mice are a common type of laboratory animal, so you would expect to find them in a lab. 
Therefore, among A through E, the answer is \textbf{E}",E,E
"John felt that his actions were fate.   Harry said that he could have always made a different what? Answer Choices: (A) free will (B) choice (C) will (D) alcohol (E) freedom
The correct answer is (A) free will.
Therefore, among A through E, the answer is \textbf{A}",A,B
,,C
"George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what? Answer Choices: (A) michigan (B) walk (C) stay still (D) stink (E) hands
The answer is B) walk.
Therefore, among A through E, the answer is \textbf{B}",B,B
"A crane uses many a steel cable when working a what? Answer Choices: (A) abaft (B) ship (C) winch (D) construction site (E) building
The correct answer is D) construction site.

A crane uses many a steel cable when working at a construction site.
Therefore, among A through E, the answer is \textbf{A}",A,D
"What is the main purpose of farmers? Answer Choices: (A) raise cattle (B) grow corn (C) farm land (D) drive tractors (E) supply food
The correct answer is (E) supply food.
Therefore, among A through E, the answer is \textbf{E}",E,E
"Where can I put this penny to save for later? Answer Choices: (A) piggy bank (B) wallet (C) toy (D) ground (E) pocket
The correct answer is (A) piggy bank. A piggy bank is a great place to save your penny. 
Therefore, among A through E, the answer is \textbf{A}",A,A
"Where would you put uncooked crab meat? Answer Choices: (A) wharf (B) red lobster (C) tidepools (D) boss's office (E) stew pot
I would choose (E) stew pot. The other options do not make sense. 
Therefore, among A through E, the answer is \textbf{E}",E,E
"The man had a fear of illness, so he never visited friends who were a what? Answer Choices: (A) sick person (B) hospital (C) elderly person (D) graveyard (E) doctor's office
The correct answer is (A) sick person. The man has a fear of illness, so he will not visit a sick person.
Therefore, among A through E, the answer is \textbf{A}",A,A
"Where would you put pans if you want to bring them with you? Answer Choices: (A) cooking (B) cook food (C) kitchen (D) backpack (E) drawer
You would bring the pans with you, so it is (D) backpack. 
Therefore, among A through E, the answer is \textbf{E}",E,D
"If you're remembering something, it's because of your what of it to begin with? Answer Choices: (A) knowledge (B) knowing (C) forgetful (D) pleasure (E) depression
The correct answer is (A) knowledge.  I am remembering, so it is because I have the knowledge.
Therefore, among A through E, the answer is \textbf{A}",A,B
"Which large land mass is home to the most monkeys? Answer Choices: (A) amazon basin (B) friend's house (C) lift number 3 (D) research laboratory (E) african continent
A simple one!

The correct answer is (A) amazon basin. The Amazon basin is a large region in South America, and it is home to a vast variety of monkey species. 
Therefore, among A through E, the answer is \textbf{A}",A,E
"Friday was James's 5th Anniversary.  They planned on going to bed early so that they could spend a long time doing what? Answer Choices: (A) rest (B) insomnia (C) making love (D) sleeping in (E) texting
The answer is C) making love.  It was their 5th anniversary, so they were likely going to celebrate, and they planned to go to bed early to have a nice time.
Therefore, among A through E, the answer is \textbf{C}",C,C
"The teens were trying to hide that they get drink, but when they walked in the door their what gave it away? Answer Choices: (A) health (B) fall down (C) stagger (D) get arrested (E) vomit
The correct answer is (C) stagger.  The question is asking what gave it away that the teens were drinking, and the fact that they stagger means they were.
Therefore, among A through E, the answer is \textbf{C}",C,C
"You'll find a landing at the top of what? Answer Choices: (A) ocean (B) apartment building (C) stairwell (D) airport (E) room
The answer is D) airport. You will find a landing at the top of the airport.
Therefore, among A through E, the answer is \textbf{D}",D,C
"Anybody could be hired in the kitchen, what was needed of them? Answer Choices: (A) forget (B) oil squeaky hinge (C) question authority (D) wash dishes (E) oik squeaky hinge
The correct answer is (D) wash dishes.  The question is asking what you had to do, so you were in the kitchen.  You will wash dishes. 
Therefore, among A through E, the answer is \textbf{E}",E,D
"Where can you find a number of wind instruments together in public? Answer Choices: (A) music store (B) create music (C) zoo (D) music room (E) symphony
The correct answer is (A) music store. You can find a number of wind instruments together in a music store, as they are a type of music instrument store. 
Therefore, among A through E, the answer is \textbf{A}",A,E
"A mountie got off at a subway stop.  What city might he be in? Answer Choices: (A) urban area (B) metropolis (C) chicago (D) new york city (E) toronto
The answer is E) Toronto. A Mountie is a member of the Royal Canadian Mounted Police, and they are based in Canada, so the most likely city is Toronto. 
Therefore, among A through E, the answer is \textbf{E}",E,E
"What do you want someone to do when you illustrate point? Answer Choices: (A) did not understand (B) accepting (C) make clear (D) understood (E) understanding
I am (D) understood
Therefore, among A through E, the answer is \textbf{D}",D,E
"Billy set aside a block of time for having fun after work. Why might he do this? Answer Choices: (A) happiness (B) stress relief (C) pleasure (D) ocean (E) may laugh
The correct answer is (B) stress relief.  Billy set aside a block of time, so he is making time to do that. He likely does it to  stretch his time, so he can  stress relief.  ( B )  is your best  :  201  -  2  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27                                                                                                                            
Therefore, among A through E, the answer is \textbf{A}",A,B
"The man in the white suit was very lazy.  He did nothing useful.  Meanwhile, the ban in the blue had put in effort and was very what? Answer Choices: (A) restless (B) active (C) lazybutt (D) productive (E) hard work
The correct answer is (B) active. The man in the blue had put in effort, so he is the one who is not lazy. 
Therefore, among A through E, the answer is \textbf{B}",B,D
"What would you be unable to do if you have too much greed? Answer Choices: (A) keep things (B) make friends (C) play poker (D) conquer opponent (E) lie
The correct answer is (B) make friends.  Having too much greed, you will not be able to be a good friend.  The other options are all things you can do with a lot of  : 10ehr 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40   41                                                                                                                                
Therefore, among A through E, the answer is \textbf{A}",A,B
"It was a long trip from the farm, so he stayed in a hotel when he arrived at the what? Answer Choices: (A) bed away from home (B) wwii bunker (C) resort (D) las vegas (E) city
The correct answer is (A) bed away from home.  He stayed in a hotel, so a bed away from home.
Therefore, among A through E, the answer is \textbf{A}",A,E
"I did not need a servant.  I was not a what? Answer Choices: (A) freedom (B) rich person (C) hired help (D) in charge (E) busy
The correct answer is C) hired help. The statement is saying you did not need the hired help, so you were not the one. 
Therefore, among A through E, the answer is \textbf{C}",C,B
"How would you get from one side of a canal to another? Answer Choices: (A) michigan (B) amsterdam (C) venice (D) bridge (E) barges to travel on
The correct answer is (D) bridge. You can get from one side of a canal to the other by using a bridge. 
Therefore, among A through E, the answer is \textbf{D}",D,D
,,D
"An underrated thing about computers is how they manage workflow, at one time it was a big deal when they could first do what? Answer Choices: (A) share files (B) do arithmetic (C) turn on (D) cost money (E) multitask
The correct answer is (E) multitask.  The other options are not correct. The fact that you can share files was not a big deal, it was a normal thing. The first you I used a computer it could do the 1. The  2 was a  and the  4 was  so 3 = ( E )  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39                                                                               
Therefore, among A through E, the answer is \textbf{E}",E,E
